phase,scheduler,n_ues,spatial,traffic,run_id,cell_throughput_mbps,jain_index,mean_delay_ms,plr,n_ues_active,n_ues_total
phase2_group_a,bet,10,clustered,homogeneous,1,6.336,0.99982,4.7724,0.016967,10,10
phase2_group_a,bet,10,clustered,homogeneous,2,6.9873,0.999907,4.7956,0.014034,10,10
phase2_group_a,bet,10,clustered,homogeneous,3,5.8588,0.999809,4.7294,0.018919,10,10
phase2_group_a,bet,10,clustered,homogeneous,4,6.7699,0.999838,4.5532,0.016275,10,10
phase2_group_a,bet,10,clustered,homogeneous,5,6.8271,0.999806,4.6256,0.015459,10,10
phase2_group_a,bet,10,clustered,homogeneous,6,6.413,0.999828,4.6827,0.01685,10,10
phase2_group_a,bet,10,clustered,homogeneous,7,5.9465,0.999778,4.7915,0.018113,10,10
phase2_group_a,bet,10,clustered,homogeneous,8,5.9731,0.999765,4.6136,0.018032,10,10
phase2_group_a,bet,10,clustered,homogeneous,9,6.1905,0.999843,4.7751,0.017354,10,10
phase2_group_a,bet,10,clustered,homogeneous,10,6.9468,0.999877,4.7061,0.014333,10,10
phase2_group_a,bet,10,clustered,homogeneous,11,6.6765,0.99987,4.764,0.014856,10,10
phase2_group_a,bet,10,clustered,homogeneous,12,7.0403,0.999876,4.5529,0.014899,10,10
phase2_group_a,bet,10,clustered,homogeneous,13,6.4753,0.99988,4.7418,0.015623,10,10
phase2_group_a,bet,10,clustered,homogeneous,14,6.7502,0.999835,4.6699,0.014903,10,10
phase2_group_a,bet,10,clustered,homogeneous,15,7.0573,0.999911,4.7606,0.013556,10,10
phase2_group_a,bet,10,clustered,homogeneous,16,6.6703,0.999831,4.7034,0.016595,10,10
phase2_group_a,bet,10,clustered,homogeneous,17,6.3763,0.999879,4.7334,0.015658,10,10
phase2_group_a,bet,10,clustered,homogeneous,18,6.9392,0.999834,4.6325,0.014261,10,10
phase2_group_a,bet,10,clustered,homogeneous,19,6.9587,0.999777,4.4299,0.0149,10,10
phase2_group_a,bet,10,clustered,homogeneous,20,6.3513,0.999789,4.5717,0.01706,10,10
phase2_group_a,bet,20,clustered,homogeneous,1,5.7044,0.99963,5.0107,0.025238,20,20
phase2_group_a,bet,20,clustered,homogeneous,2,6.104,0.999621,4.875,0.023414,20,20
phase2_group_a,bet,20,clustered,homogeneous,3,5.3472,0.999507,4.9746,0.026853,20,20
phase2_group_a,bet,20,clustered,homogeneous,4,6.0543,0.999557,4.7914,0.024009,20,20
phase2_group_a,bet,20,clustered,homogeneous,5,6.265,0.9995,4.6829,0.023277,20,20
phase2_group_a,bet,20,clustered,homogeneous,6,5.9997,0.999621,4.8488,0.02331,20,20
phase2_group_a,bet,20,clustered,homogeneous,7,5.9748,0.99956,4.8493,0.023544,20,20
phase2_group_a,bet,20,clustered,homogeneous,8,5.6901,0.999463,4.781,0.025621,20,20
phase2_group_a,bet,20,clustered,homogeneous,9,5.9026,0.999556,4.8469,0.023732,20,20
phase2_group_a,bet,20,clustered,homogeneous,10,6.514,0.999637,4.8106,0.020572,20,20
phase2_group_a,bet,20,clustered,homogeneous,11,5.9672,0.999687,4.9943,0.023123,20,20
phase2_group_a,bet,20,clustered,homogeneous,12,6.4824,0.99964,4.7847,0.021556,20,20
phase2_group_a,bet,20,clustered,homogeneous,13,5.6753,0.999591,4.9477,0.025294,20,20
phase2_group_a,bet,20,clustered,homogeneous,14,5.7418,0.999509,4.8694,0.024199,20,20
phase2_group_a,bet,20,clustered,homogeneous,15,5.9516,0.999578,4.8679,0.023137,20,20
phase2_group_a,bet,20,clustered,homogeneous,16,6.1789,0.999588,4.8219,0.022084,20,20
phase2_group_a,bet,20,clustered,homogeneous,17,5.5767,0.999605,4.9159,0.025682,20,20
phase2_group_a,bet,20,clustered,homogeneous,18,6.0701,0.999648,4.925,0.023154,20,20
phase2_group_a,bet,20,clustered,homogeneous,19,6.3619,0.999617,4.7944,0.021563,20,20
phase2_group_a,bet,20,clustered,homogeneous,20,5.9071,0.999545,4.8208,0.023345,20,20
phase2_group_a,bet,40,clustered,homogeneous,1,5.987,0.998684,4.9668,0.033112,40,40
phase2_group_a,bet,40,clustered,homogeneous,2,6.0411,0.998684,4.9831,0.03396,40,40
phase2_group_a,bet,40,clustered,homogeneous,3,5.4059,0.998581,5.0385,0.035145,40,40
phase2_group_a,bet,40,clustered,homogeneous,4,5.7866,0.998669,4.9961,0.034278,40,40
phase2_group_a,bet,40,clustered,homogeneous,5,6.2372,0.998632,4.8677,0.033036,40,40
phase2_group_a,bet,40,clustered,homogeneous,6,5.9189,0.998506,4.9029,0.034452,40,40
phase2_group_a,bet,40,clustered,homogeneous,7,5.9803,0.998589,4.9463,0.034075,40,40
