phase,scheduler,n_ues,spatial,traffic,n_runs,cell_throughput_mbps_mean,cell_throughput_mbps_std,cell_throughput_mbps_ci95_lo,cell_throughput_mbps_ci95_hi,jain_index_mean,jain_index_std,jain_index_ci95_lo,jain_index_ci95_hi,mean_delay_ms_mean,mean_delay_ms_std,mean_delay_ms_ci95_lo,mean_delay_ms_ci95_hi,plr_mean,plr_std,plr_ci95_lo,plr_ci95_hi
phase2_group_a,bet,10,clustered,homogeneous,20,6.57722,0.383175,6.397889,6.756551,0.999838,4.3e-05,0.999818,0.999858,4.680265,0.098278,4.634269,4.726261,0.015932,0.001508,0.015227,0.016638
phase2_group_a,bet,10,uniform,homogeneous,20,4.917195,0.9098,4.491396,5.342994,0.999807,7.6e-05,0.999772,0.999843,4.88101,0.095896,4.836129,4.925891,0.023403,0.004592,0.021254,0.025552
phase2_group_a,bet,20,clustered,homogeneous,20,5.973455,0.300676,5.832735,6.114175,0.999583,5.8e-05,0.999556,0.99961,4.86066,0.08189,4.822334,4.898986,0.023635,0.001553,0.022909,0.024362
phase2_group_a,bet,20,uniform,homogeneous,20,4.315315,0.573206,4.047046,4.583584,0.99959,0.000146,0.999521,0.999658,5.08477,0.069584,5.052204,5.117336,0.034027,0.004371,0.031981,0.036073
phase2_group_a,bet,40,clustered,homogeneous,20,5.97943,0.243206,5.865606,6.093254,0.998625,0.000113,0.998572,0.998678,4.94362,0.04806,4.921127,4.966113,0.033632,0.001132,0.033102,0.034162
phase2_group_a,bet,40,uniform,homogeneous,20,3.941785,0.448262,3.731992,4.151578,0.998524,0.000298,0.998384,0.998664,5.29403,0.092019,5.250964,5.337096,0.045812,0.00327,0.044282,0.047343
phase2_group_a,mlwdf,10,clustered,homogeneous,20,19.243125,0.783737,18.876325,19.609925,0.735528,0.016793,0.727669,0.743388,3.26115,0.027042,3.248494,3.273806,0.002115,0.000303,0.001974,0.002257
phase2_group_a,mlwdf,10,uniform,homogeneous,20,14.06054,2.420723,12.927607,15.193473,0.749677,0.06005,0.721573,0.777781,3.22466,0.020826,3.214913,3.234407,0.003644,0.00124,0.003063,0.004224
phase2_group_a,mlwdf,20,clustered,homogeneous,20,19.35824,0.601,19.076963,19.639517,0.747336,0.011119,0.742132,0.75254,3.25744,0.018927,3.248582,3.266298,0.002321,0.000355,0.002154,0.002487
phase2_group_a,mlwdf,20,uniform,homogeneous,20,14.15643,1.802261,13.312946,14.999914,0.747159,0.048219,0.724592,0.769726,3.204635,0.020629,3.19498,3.21429,0.00364,0.000725,0.003301,0.00398
phase2_group_a,mlwdf,40,clustered,homogeneous,20,20.29216,0.408277,20.10108,20.48324,0.766428,0.0091,0.762169,0.770687,3.244005,0.010454,3.239112,3.248898,0.002171,0.000194,0.00208,0.002261
phase2_group_a,mlwdf,40,uniform,homogeneous,20,14.436275,1.570225,13.701387,15.171163,0.738998,0.026554,0.72657,0.751425,3.189015,0.017713,3.180725,3.197305,0.003671,0.000525,0.003425,0.003917
phase2_group_a,mt,10,clustered,homogeneous,20,11.00899,0.204549,10.913258,11.104722,0.21036,0.056728,0.18381,0.236909,3.771655,0.159298,3.697101,3.846209,1.7e-05,4e-05,-2e-06,3.6e-05
phase2_group_a,mt,10,uniform,homogeneous,20,10.902795,0.343023,10.742256,11.063334,0.179979,0.065049,0.149535,0.210422,3.44557,0.112327,3.392999,3.498141,1.5e-05,5.9e-05,-1.3e-05,4.2e-05
phase2_group_a,mt,20,clustered,homogeneous,20,11.09179,0.26348,10.968478,11.215102,0.135429,0.053865,0.110219,0.160639,3.925945,0.237243,3.814912,4.036978,-2e-06,4.6e-05,-2.4e-05,1.9e-05
phase2_group_a,mt,20,uniform,homogeneous,20,11.087105,0.417715,10.891608,11.282602,0.11555,0.048805,0.092708,0.138391,3.56506,0.232189,3.456392,3.673728,0.0,2.8e-05,-1.3e-05,1.3e-05
phase2_group_a,mt,40,clustered,homogeneous,20,11.05222,0.198947,10.95911,11.14533,0.062,0.01958,0.052836,0.071164,3.93335,0.235415,3.823173,4.043527,-2.6e-05,7.8e-05,-6.2e-05,1.1e-05
phase2_group_a,mt,40,uniform,homogeneous,20,11.0748,0.390388,10.892093,11.257507,0.059014,0.021641,0.048886,0.069142,3.76672,0.2851,3.633289,3.900151,1.3e-05,4.8e-05,-1e-05,3.5e-05
phase2_group_a,pf,10,clustered,homogeneous,20,19.243125,0.783737,18.876325,19.609925,0.735528,0.016793,0.727669,0.743388,3.26115,0.027042,3.248494,3.273806,0.002115,0.000303,0.001974,0.002257
phase2_group_a,pf,10,uniform,homogeneous,20,14.06054,2.420723,12.927607,15.193473,0.749677,0.06005,0.721573,0.777781,3.22466,0.020826,3.214913,3.234407,0.003644,0.00124,0.003063,0.004224
phase2_group_a,pf,20,clustered,homogeneous,20,19.35824,0.601,19.076963,19.639517,0.747336,0.011119,0.742132,0.75254,3.25744,0.018927,3.248582,3.266298,0.002321,0.000355,0.002154,0.002487
phase2_group_a,pf,20,uniform,homogeneous,20,14.15643,1.802261,13.312946,14.999914,0.747159,0.048219,0.724592,0.769726,3.204635,0.020629,3.19498,3.21429,0.00364,0.000725,0.003301,0.00398
phase2_group_a,pf,40,clustered,homogeneous,20,20.29216,0.408277,20.10108,20.48324,0.766428,0.0091,0.762169,0.770687,3.244005,0.010454,3.239112,3.248898,0.002171,0.000194,0.00208,0.002261
phase2_group_a,pf,40,uniform,homogeneous,20,14.436275,1.570225,13.701387,15.171163,0.738998,0.026554,0.72657,0.751425,3.189015,0.017713,3.180725,3.197305,0.003671,0.000525,0.003425,0.003917
phase2_group_a,pss,10,clustered,homogeneous,20,19.314495,0.797907,18.941063,19.687927,0.738196,0.017816,0.729858,0.746534,3.258915,0.025504,3.246979,3.270851,0.002009,0.000313,0.001862,0.002155
phase2_group_a,pss,10,uniform,homogeneous,20,14.165905,2.410865,13.037585,15.294225,0.750857,0.059115,0.72319,0.778523,3.22495,0.020592,3.215313,3.234587,0.003192,0.000946,0.002749,0.003635
phase2_group_a,pss,20,clustered,homogeneous,20,20.299735,0.801875,19.924446,20.675024,0.692459,0.020348,0.682936,0.701982,3.19722,0.012275,3.191475,3.202965,0.001545,0.000225,0.001439,0.00165
phase2_group_a,pss,20,uniform,homogeneous,20,14.52764,1.943946,13.617845,15.437435,0.706912,0.070111,0.674099,0.739724,3.17595,0.014449,3.169188,3.182712,0.002563,0.000487,0.002335,0.002791
phase2_group_a,pss,40,clustered,homogeneous,20,20.254295,0.512796,20.014299,20.494291,0.716373,0.009701,0.711833,0.720913,3.1659,0.006423,3.162894,3.168906,0.001232,0.000132,0.001171,0.001294
phase2_group_a,pss,40,uniform,homogeneous,20,13.873485,1.635713,13.107948,14.639022,0.697748,0.039667,0.679183,0.716312,3.139575,0.006701,3.136439,3.142711,0.002156,0.000276,0.002027,0.002285
phase2_group_a,rr,10,clustered,homogeneous,20,8.414585,0.702071,8.086006,8.743164,0.625191,0.0384,0.607219,0.643163,4.920985,0.108188,4.870352,4.971618,0.021743,0.001593,0.020998,0.022489
phase2_group_a,rr,10,uniform,homogeneous,20,5.600135,1.289365,4.996694,6.203576,0.666448,0.082106,0.628021,0.704874,5.20068,0.144754,5.132933,5.268427,0.031158,0.005248,0.028702,0.033615
phase2_group_a,rr,20,clustered,homogeneous,20,11.347575,0.781564,10.981792,11.713358,0.632579,0.026176,0.620328,0.64483,5.064145,0.058563,5.036737,5.091553,0.026721,0.0012,0.026159,0.027283
phase2_group_a,rr,20,uniform,homogeneous,20,7.22365,1.288381,6.620669,7.826631,0.641932,0.086279,0.601552,0.682311,5.29261,0.083632,5.253469,5.331751,0.036753,0.003977,0.034892,0.038614
phase2_group_a,rr,40,clustered,homogeneous,20,11.060045,0.474726,10.837866,11.282224,0.675242,0.010776,0.670199,0.680286,5.250085,0.058411,5.222748,5.277422,0.030498,0.001315,0.029882,0.031113
phase2_group_a,rr,40,uniform,homogeneous,20,6.74647,1.017739,6.270154,7.222786,0.642231,0.047311,0.620089,0.664373,5.614705,0.083741,5.575513,5.653897,0.044854,0.004029,0.042968,0.04674
phase2_group_a,tta,10,clustered,homogeneous,20,14.80451,1.031802,14.321612,15.287408,0.744105,0.0382,0.726228,0.761983,3.385695,0.02795,3.372614,3.398776,0.007731,0.001553,0.007004,0.008458
phase2_group_a,tta,10,uniform,homogeneous,20,11.273335,1.621656,10.514377,12.032293,0.755062,0.07978,0.717724,0.7924,3.34091,0.021794,3.33071,3.35111,0.012665,0.004487,0.010564,0.014765
phase2_group_a,tta,20,clustered,homogeneous,20,13.70716,0.655346,13.400449,14.013871,0.728916,0.040483,0.709969,0.747862,3.56273,0.036002,3.545881,3.579579,0.011272,0.001701,0.010476,0.012068
phase2_group_a,tta,20,uniform,homogeneous,20,10.035525,1.445377,9.359068,10.711982,0.776838,0.0745,0.741971,0.811705,3.502005,0.034411,3.4859,3.51811,0.018186,0.004771,0.015954,0.020419
phase2_group_a,tta,40,clustered,homogeneous,20,13.238185,0.402773,13.049681,13.426689,0.709778,0.02992,0.695775,0.723781,3.78471,0.030447,3.77046,3.79896,0.014858,0.001801,0.014016,0.015701
phase2_group_a,tta,40,uniform,homogeneous,20,8.885595,1.165588,8.340083,9.431107,0.80182,0.04244,0.781957,0.821683,3.70237,0.027993,3.689269,3.715471,0.028174,0.004196,0.02621,0.030138
